function	callee
lIIiiI	TimerStart
lIIiiI	TriggerSleepAction
lIiiII	GroupEnumUnitsInRangeOfLoc
lIiliI	GroupEnumUnitsInRangeOfLoc
lIillI	GroupEnumUnitsOfType
lIlIiI	GroupEnumUnitsOfPlayer
lIliII	GroupEnumUnitsOfPlayer
lIliiI	ForceAddPlayer
lIlilI	ForceEnumAllies
lIllII	DestroyGroup
lIllII	ForGroup
lIllII	GroupEnumUnitsOfType
liIIII	lIllII
liIiiI	TimerStart
liIiiI	liIIII
liIilI	SetAllItemTypeSlots
liIilI	SetAllUnitTypeSlots
liIilI	TimerStart
liIilI	TriggerAddAction
liIilI	TriggerRegisterPlayerUnitEvent
liIliI	DelayedSuspendDecayCreate
liIliI	ForceAddPlayer
liIliI	ForceEnumPlayers
liiIiI	ConfigureNeutralVictim
liiIiI	DetectGameStarted
liiIiI	InitDNCSounds
liiIiI	InitMapRects
liiIiI	InitQueuedTriggers
liiIiI	InitRescuableBehaviorBJ
liiIiI	InitSummonableCaps
liiIiI	liIilI
liiIiI	liIliI
liilII	liiiII
liiliI	liiiiI
liiliI	liiilI
liiliI	liilII
liliiI	SetUnitColor
lilllI	DisableTrigger
lilllI	EnableTrigger
llIiII	DisableTrigger
llIiII	DisplayTextToForce
llIiII	EnableTrigger
llIlII	IssueTargetOrderBJ
llIliI	ForGroupBJ
lliIlI	DisableTrigger
lliIlI	DisplayTextToForce
lliIlI	EnableTrigger
lllliI	AddWeatherEffectSaveLast
lllliI	DoNothing
lllliI	EnableWeatherEffect
lllliI	RemoveWeatherEffectBJ
lllliI	lIIiiI
lllllI	KillSoundWhenDoneBJ
lllllI	PlaySoundBJ
lllllI	lIIiiI
IIIIIi	CreateFogModifierRectBJ
IIIIIi	CreateQuestBJ
IIIIIi	SetPlayerAllianceStateBJ
IIIIIi	SetPlayerFlagBJ
IIIIIi	SetPlayerTechMaxAllowedSwap
IIIIii	FogEnableOn
IIIIii	FogMaskEnableOn
IIIlii	CinematicFilterGenericBJ
IIIlii	ConditionalTriggerExecute
IIIlii	DestroyTextTagBJ
IIIlii	EnableTrigger
IIIlii	MultiboardDisplayBJ
IIIlii	RemoveUnit
IIIlii	lIIiiI
IIilii	CinematicFilterGenericBJ
IIilii	ConditionalTriggerExecute
IIilii	CreateNUnitsAtLoc
IIilii	DisplayTimedTextToForce
IIilii	PanCameraToTimedLocForPlayer
IIilii	PauseUnitBJ
IIilii	SelectUnitForPlayerSingle
IIilii	SetItemCharges
IIilii	SetPlayerStateBJ
IIilii	SetUnitInvulnerable
IIilii	UnitAddItemByIdSwapped
IIilii	UnitRemoveAbilityBJ
IIilii	lIIiiI
IIlIii	CinematicFilterGenericBJ
IIlIii	CreateNUnitsAtLoc
IIlIii	PanCameraToTimedLocForPlayer
IIlIii	SelectUnitForPlayerSingle
IIlIii	SetItemCharges
IIlIii	SetPlayerStateBJ
IIlIii	UnitAddItemByIdSwapped
IIlIii	lIIiiI
IIllIi	QuestMessageBJ
IiIiii	CreateNUnitsAtLoc
IiIiii	CreateTextTagLocBJ
IiIiii	DisplayTimedTextToForce
IiIiii	PanCameraToTimedLocForPlayer
IiIiii	PauseUnitBJ
IiIiii	SelectUnitForPlayerSingle
IiIiii	SetPlayerAllianceStateBJ
IiIlIi	SetUnitPositionLoc
IiIlli	DisplayTimedTextToForce
IiiIii	DisplayTimedTextToForce
