function	line_start	line_end	labels	direct_labels	inherited_labels	call_count	calls	reasons
lIlilI	466	470	alliance	alliance		1	ForceEnumAllies	alliance:ForceEnumAllies
liiIlI	617	999	wave	wave		0		wave:Ili[
lilIII	1034	1169	wave	wave		0		wave:Ili[
lilIiI	1170	1190	wave	wave		0		wave:Player(10)
lilIlI	1191	1205	wave	wave		0		wave:Player(10)
liliII	1206	1213	disease	disease		0		disease:PLAYER_NEUTRAL_AGGRESSIVE
lilliI	1274	1282	disease	disease		0		disease:PLAYER_NEUTRAL_AGGRESSIVE
llIiII	1307	1322	chat	chat		3	DisableTrigger,DisplayTextToForce,EnableTrigger	chat:DisplayTextToForce
llIiiI	1323	1334	disease	disease		0		disease:PLAYER_NEUTRAL_AGGRESSIVE
lliIlI	1356	1364	chat	chat		3	DisableTrigger,DisplayTextToForce,EnableTrigger	chat:DisplayTextToForce
IIIIIi	1537	1572	alliance,chat,wave	alliance,chat,wave		5	CreateFogModifierRectBJ,CreateQuestBJ,SetPlayerAllianceStateBJ,SetPlayerFlagBJ,SetPlayerTechMaxAllowedSwap	wave:늑대|chat:-이름|chat:-hostban|alliance:동맹|alliance:SetPlayerAllianceStateBJ|alliance:bj_ALLIANCE|alliance:-올동맹|alliance:-동맹상태
IIilii	1728	1795	economy,wave	economy,wave		13	CinematicFilterGenericBJ,ConditionalTriggerExecute,CreateNUnitsAtLoc,DisplayTimedTextToForce,PanCameraToTimedLocForPlayer,PauseUnitBJ,SelectUnitForPlayerSingle,SetItemCharges,SetPlayerStateBJ,SetUnitInvulnerable,UnitAddItemByIdSwapped,UnitRemoveAbilityBJ,lIIiiI	wave:늑대|economy:PLAYER_STATE_RESOURCE
IIlIii	1808	1832	economy	economy		8	CinematicFilterGenericBJ,CreateNUnitsAtLoc,PanCameraToTimedLocForPlayer,SelectUnitForPlayerSingle,SetItemCharges,SetPlayerStateBJ,UnitAddItemByIdSwapped,lIIiiI	economy:PLAYER_STATE_RESOURCE
IiIiii	1917	1968	alliance	alliance		7	CreateNUnitsAtLoc,CreateTextTagLocBJ,DisplayTimedTextToForce,PanCameraToTimedLocForPlayer,PauseUnitBJ,SelectUnitForPlayerSingle,SetPlayerAllianceStateBJ	alliance:SetPlayerAllianceStateBJ|alliance:bj_ALLIANCE
IiiIii	1993	1995	alliance	alliance		1	DisplayTimedTextToForce	alliance:동맹
IiiiIi	2002	2004	wave	wave		1	DisplayTimedTextToForce	wave:늑대
Iiiili	2011	2013	wave	wave		1	DisplayTimedTextToForce	wave:늑대
Iiilii	2020	2022	disease,wave	disease,wave		1	DisplayTimedTextToForce	wave:늑대|disease:질병
Iillii	2068	2137	alliance	alliance		8	ConditionalTriggerExecute,DisableTrigger,DisplayTimedTextToForce,KillUnit,RemoveUnit,SetPlayerAllianceStateBJ,SetPlayerTechMaxAllowedSwap,SetPlayerUnitAvailableBJ	alliance:SetPlayerAllianceStateBJ|alliance:bj_ALLIANCE
iIIIii	2432	2437	wave	wave		1	IssuePointOrderLocBJ	wave:IssuePointOrderLocBJ
iIIili	2456	2461	wave	wave		1	IssuePointOrderLocBJ	wave:IssuePointOrderLocBJ
lIIIIi	3086	3091	economy	economy		0		economy:PLAYER_STATE_RESOURCE
lIIIli	3098	3103	economy	economy		0		economy:PLAYER_STATE_RESOURCE
lIIiii	3110	3115	economy	economy		0		economy:PLAYER_STATE_RESOURCE
lIIlIi	3122	3127	economy	economy		0		economy:PLAYER_STATE_RESOURCE
lIIlli	3134	3139	economy	economy		0		economy:PLAYER_STATE_RESOURCE
lIiIii	3146	3151	economy	economy		0		economy:PLAYER_STATE_RESOURCE
lIiiIi	3158	3163	economy	economy		0		economy:PLAYER_STATE_RESOURCE
lIiili	3170	3175	economy	economy		0		economy:PLAYER_STATE_RESOURCE
lIilii	3182	3255	economy	economy		2	AdjustPlayerStateBJ,DisplayTimedTextToForce	economy:AdjustPlayerStateBJ|economy:PLAYER_STATE_RESOURCE|economy:충분한 금화|economy:충분한 목재
lIlIIi	3262	3267	economy	economy		0		economy:PLAYER_STATE_RESOURCE
lIlIii	3268	3275	economy	economy		3	AdjustPlayerStateBJ,CreateNUnitsAtLoc,DisplayTimedTextToForce	economy:AdjustPlayerStateBJ|economy:PLAYER_STATE_RESOURCE|economy:충분한 금화
lIliIi	3282	3287	economy	economy		0		economy:PLAYER_STATE_RESOURCE
lIliii	3288	3295	economy	economy		3	AdjustPlayerStateBJ,CreateNUnitsAtLoc,DisplayTimedTextToForce	economy:AdjustPlayerStateBJ|economy:PLAYER_STATE_RESOURCE|economy:충분한 금화
lIllIi	3302	3307	economy	economy		0		economy:PLAYER_STATE_RESOURCE
lIllii	3308	3315	economy	economy		3	AdjustPlayerStateBJ,CreateNUnitsAtLoc,DisplayTimedTextToForce	economy:AdjustPlayerStateBJ|economy:PLAYER_STATE_RESOURCE|economy:충분한 금화
liilIi	3415	3445	economy	economy		6	AdjustPlayerStateBJ,DisplayTimedTextToForce,ForGroupBJ,IssueImmediateOrderBJ,ReviveHeroLoc,UnitAddItemByIdSwapped	economy:AdjustPlayerStateBJ|economy:PLAYER_STATE_RESOURCE
lilili	3486	3492	wave	wave		4	CreateNUnitsAtLoc,IssueImmediateOrderBJ,RemoveUnit,SetHeroLevelBJ	wave:Player(10)
lillii	3499	3501	wave	wave		0		wave:Player(10)
lillli	3502	3504	wave	wave		1	IssuePointOrderLocBJ	wave:IssuePointOrderLocBJ
lliIIi	3547	3556	disease	disease		3	DialogAddButtonBJ,DialogDisplayBJ,DialogSetMessageBJ	disease:질병
lliiii	3575	3592	disease	disease		2	ConditionalTriggerExecute,DisplayTimedTextToForce	disease:질병
llilIi	3599	3604	disease	disease		3	CreateNUnitsAtLoc,IssueTargetOrder,IssueTargetOrderBJ	disease:1747988806|disease:PLAYER_NEUTRAL_AGGRESSIVE
llliii	3642	3660	disease,wave	disease,wave		3	DisplayTimedTextToForce,EnableTrigger,lIIiiI	wave:Ili[|disease:질병|disease:Ili[60]
lllili	3661	3666	disease,wave	disease,wave		0		wave:Ili[|wave:Player(10)|disease:Ili[60]|disease:1747988805
llllIi	3667	3673	disease,wave	disease,wave		2	CreateNUnitsAtLoc,UnitApplyTimedLife	wave:Player(10)|disease:1747988805
llllii	3674	3679	disease,wave	disease,wave		0		wave:Ili[|wave:Player(10)|disease:Ili[60]|disease:1747988805
llllli	3680	3686	disease,wave	disease,wave		2	CreateNUnitsAtLoc,UnitApplyTimedLife	wave:Player(10)|disease:1747988805
IIIIiII	3705	3710	disease	disease		0		disease:1747988805
IIliiII	4192	4198	economy	economy		3	ConditionalTriggerExecute,DisplayTimedTextToForce,SetPlayerStateBJ	economy:PLAYER_STATE_RESOURCE
IIllilI	4273	4281	chat	chat		0		chat:GetEventPlayerChatString|chat:SubStringBJ(GetEventPlayerChatString
IIlllII	4282	4285	chat	chat		1	SetCameraFieldForPlayer	chat:GetEventPlayerChatString|chat:SubStringBJ(GetEventPlayerChatString
IiIIilI	4323	4350	alliance	alliance		2	DisplayTimedTextToForce,SetPlayerAllianceStateBJ	alliance:동맹|alliance:SetPlayerAllianceStateBJ|alliance:bj_ALLIANCE
IiilliI	4669	4946	alliance	alliance		4	DialogAddButtonBJ,DialogDisplayBJ,DialogSetMessageBJ,DisplayTimedTextToForce	alliance:동맹
IilIIlI	4965	4994	alliance	alliance		3	DialogClearBJ,DisplayTimedTextToForce,SetPlayerAllianceStateBJ	alliance:동맹|alliance:SetPlayerAllianceStateBJ|alliance:bj_ALLIANCE
IilIlII	5013	5042	alliance	alliance		3	DialogClearBJ,DisplayTimedTextToForce,SetPlayerAllianceStateBJ	alliance:동맹|alliance:SetPlayerAllianceStateBJ|alliance:bj_ALLIANCE
IiliIiI	5061	5090	alliance	alliance		3	DialogClearBJ,DisplayTimedTextToForce,SetPlayerAllianceStateBJ	alliance:동맹|alliance:SetPlayerAllianceStateBJ|alliance:bj_ALLIANCE
IiliilI	5109	5138	alliance	alliance		3	DialogClearBJ,DisplayTimedTextToForce,SetPlayerAllianceStateBJ	alliance:동맹|alliance:SetPlayerAllianceStateBJ|alliance:bj_ALLIANCE
IillIII	5157	5186	alliance	alliance		3	DialogClearBJ,DisplayTimedTextToForce,SetPlayerAllianceStateBJ	alliance:동맹|alliance:SetPlayerAllianceStateBJ|alliance:bj_ALLIANCE
IilliiI	5205	5234	alliance	alliance		3	DialogClearBJ,DisplayTimedTextToForce,SetPlayerAllianceStateBJ	alliance:동맹|alliance:SetPlayerAllianceStateBJ|alliance:bj_ALLIANCE
IillllI	5253	5282	alliance	alliance		3	DialogClearBJ,DisplayTimedTextToForce,SetPlayerAllianceStateBJ	alliance:동맹|alliance:SetPlayerAllianceStateBJ|alliance:bj_ALLIANCE
IlIIiII	5301	5330	alliance	alliance		3	DialogClearBJ,DisplayTimedTextToForce,SetPlayerAllianceStateBJ	alliance:동맹|alliance:SetPlayerAllianceStateBJ|alliance:bj_ALLIANCE
IlIIliI	5349	5378	alliance	alliance		3	DialogClearBJ,DisplayTimedTextToForce,SetPlayerAllianceStateBJ	alliance:동맹|alliance:SetPlayerAllianceStateBJ|alliance:bj_ALLIANCE
