rawcode	decimal
A000	1093677104
A001	1093677105
A002	1093677106
A003	1093677107
A004	1093677108
A006	1093677110
A00C	1093677123
A00D	1093677124
A00E	1093677125
A00G	1093677127
A00H	1093677128
A00I	1093677129
A00J	1093677130
A00K	1093677131
A00L	1093677132
A00M	1093677133
A00N	1093677134
A00O	1093677135
A00P	1093677136
A00Q	1093677137
A00R	1093677138
A00S	1093677139
A00V	1093677142
A00W	1093677143
A00X	1093677144
A00Y	1093677145
A01L	1093677388
A01T	1093677396
A01W	1093677399
A028	1093677624
A02A	1093677633
A02F	1093677638
A02H	1093677640
A02J	1093677642
A02K	1093677643
A02L	1093677644
A02M	1093677645
A02N	1093677646
A02V	1093677654
A02X	1093677656
A032	1093677874
A033	1093677875
A03E	1093677893
A03G	1093677895
A03I	1093677897
A03J	1093677898
A03K	1093677899
A03L	1093677900
A03N	1093677902
A03O	1093677903
A03P	1093677904
A03Q	1093677905
A03R	1093677906
A03S	1093677907
A03V	1093677910
A03W	1093677911
A03Y	1093677913
A041	1093678129
A042	1093678130
A043	1093678131
A04K	1093678155
A04L	1093678156
Ahrp	1097364080
Amrf	1097691750
B000	1110454320
B00I	1110454345
B00K	1110454347
B00N	1110454350
H000	1211117616
H002	1211117618
H00X	1211117656
H012	1211117874
H013	1211117875
H01B	1211117890
H01N	1211117902
H01O	1211117903
H022	1211118130
I002	1227894834
I003	1227894835
I004	1227894836
I005	1227894837
I006	1227894838
I007	1227894839
I008	1227894840
I009	1227894841
I00A	1227894849
I00B	1227894850
I00C	1227894851
I00D	1227894852
I00E	1227894853
I00F	1227894854
I00G	1227894855
I00H	1227894856
I00I	1227894857
I00J	1227894858
I00K	1227894859
I00L	1227894860
I00M	1227894861
I00N	1227894862
I00O	1227894863
I00P	1227894864
I00Q	1227894865
R000	1378889776
R001	1378889777
R002	1378889778
R003	1378889779
R004	1378889780
R005	1378889781
R007	1378889783
R00E	1378889797
RLhr	1380739186
RLlr	1380740210
Rema	1382378849
Resm	1382380397
Rhan	1382572398
Rhar	1382572402
Rhfs	1382573683
Rhme	1382575461
SNhs	1397647475
WOcw	1464820599
WOlw	1464822903
e000	1697656880
e001	1697656881
e003	1697656883
e004	1697656884
h001	1747988529
h003	1747988531
h004	1747988532
h006	1747988534
h007	1747988535
h008	1747988536
h009	1747988537
h00A	1747988545
h00H	1747988552
h00I	1747988553
h00J	1747988554
h00K	1747988555
h00L	1747988556
h00N	1747988558
h00O	1747988559
h00S	1747988563
h00U	1747988565
h00V	1747988566
h00W	1747988567
h00Y	1747988569
h010	1747988784
h014	1747988788
h015	1747988789
h01D	1747988804
h01E	1747988805
h01F	1747988806
h01L	1747988812
h01M	1747988813
h01P	1747988816
h01R	1747988818
h01Y	1747988825
h01Z	1747988826
h021	1747989041
h024	1747989044
hrtt	1752331380
n000	1848651824
n001	1848651825
n002	1848651826
n003	1848651827
n004	1848651828
n006	1848651830
n007	1848651831
n008	1848651832
n009	1848651833
n00A	1848651841
n00B	1848651842
n00C	1848651843
n00D	1848651844
n00E	1848651845
n00F	1848651846
n00G	1848651847
n00H	1848651848
n00I	1848651849
n00J	1848651850
n00K	1848651851
n00L	1848651852
n00M	1848651853
n00N	1848651854
n00O	1848651855
n00P	1848651856
n00S	1848651859
n00T	1848651860
n00U	1848651861
n00V	1848651862
n00W	1848651863
n00Z	1848651866
n010	1848652080
n011	1848652081
n012	1848652082
n013	1848652083
n014	1848652084
n015	1848652085
n017	1848652087
n018	1848652088
n019	1848652089
n01A	1848652097
n01D	1848652100
n01E	1848652101
n01F	1848652102
n01G	1848652103
n01H	1848652104
n01J	1848652106
n01K	1848652107
ncp2	1852010546
u000	1966092336
u024	1966092852
