line	count	rawcode	decimal	owner	rect_symbol	center_x	center_y	role_inferred
5617	1	n018	1848652088	Player(10)	IliiI	2080.0	-1440.0	boss_or_difficulty_spawn
5627	1	n00N	1848651854	Player(10)	IliiI	2080.0	-1440.0	boss_or_difficulty_spawn
5632	1	n00O	1848651855	Player(10)	IliiI	2080.0	-1440.0	boss_or_difficulty_spawn
5637	1	n00P	1848651856	Player(10)	IliiI	2080.0	-1440.0	boss_or_difficulty_spawn
5642	1	n00S	1848651859	Player(10)	IliiI	2080.0	-1440.0	boss_or_difficulty_spawn
5647	1	n00T	1848651860	Player(10)	IliiI	2080.0	-1440.0	boss_or_difficulty_spawn
5652	1	n019	1848652089	Player(10)	IliiI	2080.0	-1440.0	boss_or_difficulty_spawn
5752	1	H012	1211117874	Player(10)	IlilI	2080.0	-896.0	boss_or_difficulty_spawn
5786	1	H00X	1211117656	Player(10)	IlilI	2080.0	-896.0	boss_or_difficulty_spawn
5819	1	H013	1211117875	Player(10)	IlilI	2080.0	-896.0	boss_or_difficulty_spawn
5852	1	H01B	1211117890	Player(10)	IlilI	2080.0	-896.0	boss_or_difficulty_spawn
5885	1	H01N	1211117902	Player(10)	IlilI	2080.0	-896.0	boss_or_difficulty_spawn
