row	col	x	y	ground_height	water_level	flags	texture	ground_index	ground_tile	texture_variant	cliff	cliff_index	cliff_tile	layer_height
0	0	-3072.0	-7680.0	-3.25	384.0	7	12	12		0	5	5		0
0	1	-2944.0	-7680.0	-3.25	-3.25	9	17	1	Zdtr	1	3	3		0
0	2	-2816.0	-7680.0	-48.25	-3.25	73	38	6	Zgrs	2	1	1	CZlb	0
0	3	-2688.0	-7680.0	-57.0	-3.25	73	72	8	Ybtl	4	1	1	CZlb	0
0	4	-2560.0	-7680.0	-47.5	-3.25	73	64	0	Zdrt	4	1	1	CZlb	0
0	5	-2432.0	-7680.0	-40.25	-3.25	73	4	4	Zsan	0	1	1	CZlb	0
0	6	-2304.0	-7680.0	-64.0	-3.25	73	36	4	Zsan	2	1	1	CZlb	0
0	7	-2176.0	-7680.0	-64.0	-3.25	73	8	8	Ybtl	0	1	1	CZlb	0
0	8	-2048.0	-7680.0	-64.0	-3.25	73	76	12		4	1	1	CZlb	0
0	9	-1920.0	-7680.0	-64.0	-3.25	73	5	5	Zbkl	0	1	1	CZlb	0
0	10	-1792.0	-7680.0	-56.0	-3.25	73	0	0	Zdrt	0	1	1	CZlb	0
0	11	-1664.0	-7680.0	-64.0	-3.25	65	49	1	Zdtr	3	1	1	CZlb	0
0	12	-1536.0	-7680.0	-64.0	-3.25	65	48	0	Zdrt	3	1	1	CZlb	0
0	13	-1408.0	-7680.0	-51.25	-3.25	65	8	8	Ybtl	0	1	1	CZlb	0
0	14	-1280.0	-7680.0	-64.0	-3.25	65	48	0	Zdrt	3	1	1	CZlb	0
0	15	-1152.0	-7680.0	-64.0	-3.25	65	81	1	Zdtr	5	1	1	CZlb	0
0	16	-1024.0	-7680.0	-64.0	-3.25	73	0	0	Zdrt	0	1	1	CZlb	0
0	17	-896.0	-7680.0	-64.0	-3.25	73	32	0	Zdrt	2	1	1	CZlb	0
0	18	-768.0	-7680.0	-64.0	-3.25	73	69	5	Zbkl	4	1	1	CZlb	0
0	19	-640.0	-7680.0	-64.0	-3.25	73	37	5	Zbkl	2	1	1	CZlb	0
0	20	-512.0	-7680.0	-64.0	-3.25	73	40	8	Ybtl	2	1	1	CZlb	0
0	21	-384.0	-7680.0	-64.0	-3.25	73	0	0	Zdrt	0	1	1	CZlb	0
0	22	-256.0	-7680.0	-57.0	-3.25	73	72	8	Ybtl	4	1	1	CZlb	0
0	23	-128.0	-7680.0	-47.0	-3.25	73	0	0	Zdrt	0	1	1	CZlb	0
0	24	0.0	-7680.0	-64.0	-3.25	71	72	8	Ybtl	4	1	1	CZlb	0
0	25	128.0	-7680.0	-64.0	-3.25	71	81	1	Zdtr	5	1	1	CZlb	0
0	26	256.0	-7680.0	-64.0	-3.25	71	8	8	Ybtl	0	1	1	CZlb	0
0	27	384.0	-7680.0	-64.0	-3.25	71	44	12		2	1	1	CZlb	0
0	28	512.0	-7680.0	-64.0	-3.25	71	48	0	Zdrt	3	1	1	CZlb	0
0	29	640.0	-7680.0	-64.0	-3.25	71	68	4	Zsan	4	1	1	CZlb	0
0	30	768.0	-7680.0	-64.0	-3.25	73	4	4	Zsan	0	1	1	CZlb	0
0	31	896.0	-7680.0	-64.0	-3.25	71	80	0	Zdrt	5	1	1	CZlb	0
0	32	1024.0	-7680.0	-60.75	-3.25	71	76	12		4	1	1	CZlb	0
0	33	1152.0	-7680.0	-64.0	-3.25	71	0	0	Zdrt	0	1	1	CZlb	0
0	34	1280.0	-7680.0	-64.0	-3.25	71	4	4	Zsan	0	1	1	CZlb	0
0	35	1408.0	-7680.0	-64.0	-3.25	73	33	1	Zdtr	2	1	1	CZlb	0
0	36	1536.0	-7680.0	-64.0	-3.25	73	36	4	Zsan	2	1	1	CZlb	0
0	37	1664.0	-7680.0	-64.0	-3.25	73	72	8	Ybtl	4	1	1	CZlb	0
0	38	1792.0	-7680.0	-64.0	-3.25	73	68	4	Zsan	4	1	1	CZlb	0
0	39	1920.0	-7680.0	-64.0	-3.25	73	80	0	Zdrt	5	1	1	CZlb	0
0	40	2048.0	-7680.0	-64.0	-3.25	73	81	1	Zdtr	5	1	1	CZlb	0
0	41	2176.0	-7680.0	-64.0	-3.25	73	0	0	Zdrt	0	1	1	CZlb	0
0	42	2304.0	-7680.0	-64.0	-3.25	73	49	1	Zdtr	3	1	1	CZlb	0
0	43	2432.0	-7680.0	-64.0	-3.25	73	0	0	Zdrt	0	1	1	CZlb	0
0	44	2560.0	-7680.0	-52.0	-3.25	73	41	9	Alvd	2	1	1	CZlb	0
0	45	2688.0	-7680.0	-60.75	-3.25	73	48	0	Zdrt	3	1	1	CZlb	0
0	46	2816.0	-7680.0	-64.0	-3.25	73	17	1	Zdtr	1	1	1	CZlb	0
0	47	2944.0	-7680.0	-64.0	-3.25	73	36	4	Zsan	2	1	1	CZlb	0
0	48	3072.0	-7680.0	-64.0	-3.25	73	66	2	Zdrg	4	1	1	CZlb	0
0	49	3200.0	-7680.0	-64.0	-3.25	73	80	0	Zdrt	5	1	1	CZlb	0
0	50	3328.0	-7680.0	-64.0	-3.25	73	0	0	Zdrt	0	1	1	CZlb	0
0	51	3456.0	-7680.0	-64.0	-3.25	73	48	0	Zdrt	3	1	1	CZlb	0
0	52	3584.0	-7680.0	-64.0	-3.25	73	32	0	Zdrt	2	1	1	CZlb	0
0	53	3712.0	-7680.0	-64.0	-3.25	73	45	13		2	1	1	CZlb	0
0	54	3840.0	-7680.0	-64.0	-3.25	73	17	1	Zdtr	1	1	1	CZlb	0
0	55	3968.0	-7680.0	-64.0	-3.25	73	64	0	Zdrt	4	1	1	CZlb	0
0	56	4096.0	-7680.0	-64.0	-3.25	73	44	12		2	1	1	CZlb	0
0	57	4224.0	-7680.0	-64.0	-3.25	73	49	1	Zdtr	3	1	1	CZlb	0
0	58	4352.0	-7680.0	-64.0	-3.25	73	16	0	Zdrt	1	1	1	CZlb	0
0	59	4480.0	-7680.0	-64.0	-3.25	73	38	6	Zgrs	2	1	1	CZlb	0
0	60	4608.0	-7680.0	-64.0	-3.25	73	44	12		2	1	1	CZlb	0
